code,use,last,first,middle(s),last,suffix,nick,note,pos,hf,hi,wt,s/c,bm,bd,by,tob,sob,cob,dm,dd,dy,tod,sod,cod
andet001,Tom,Anderson,Thomas,Linton,Anderson,,Cowboy,,L/D,5,10,180,L,7,9,1910,Edinburgh,,Scotland,9,15,1971,,,
andrs001,Steve,Andrascik,Steven,George,Andrascik,,,,R,5,11,200,R,11,6,1948,Sherridon,MB,Canada,,,,,,
andra001,Alexander,Andrevi,,,,,,,,,,,,,,,,,,,,,,,
andrd001,Dave,Andreychuk,David,John,Andreychuk,,Chukie/Octopus,,L,6,4,220,R,9,29,1963,Hamilton,ON,Canada,,,,,,
andrl001,Lloyd,Andrews,Lloyd,Thomas,Andrews,,Shrimp,,L,5,8,155,L,11,4,1899,Tilsonburg,ON,Canada,,,1974,,,
andrp001,Paul,Andrea,Paul,Lawrence,Andrea,,,,R,5,10,174,L,7,31,1941,North Sydney,NS,Canada,,,,,,
andra002,Alexander,Andrievski,Alexander,,Andrievski,,,,R,6,5,211,R,8,10,1968,Minsk,,Belarus,,,,,,
andrg001,Greg,Andrusak,Gregory,Frederick,Andrusak,,,,D,6,1,195,R,11,14,1969,Cranbrook,BC,Canada,,,,,,
andrr001,Ron,Andruff,Ronald,Nicholas,Andruff,,,,C,6,0,185,R,7,10,1953,Chemainus,BC,Canada,,,,,,
angem001,Mel,Angelstad,,,,,The Mangler,,L,6,2,214,L,10,31,1972,Saskatoon,SK,Canada,,,,,,
angem002,Mike,Angelidis,,,,,,,C,6,1,200,,6,27,1985,Woodbridge,ON,Canada,,,,,,
angol001,Lou,Angotti,Louis,Frederick,Angotti,,,,C,5,9,170,R,1,16,1938,Toronto,ON,Canada,,,,,,
anhod001,Darrel,Anholt,Darrel,,Anholt,,,,D,6,2,230,L,11,23,1962,Hardisty,AB,Canada,,,,,,
anisa001,Artem,Anisimov,,,,,,,C,6,3,190,L,5,24,1988,Yaroslavl,,Russia,,,,,,
anslh001,Hub,Anslow,Hubert,Wallace,Anslow,,,,L,6,0,173,L,3,23,1926,Pembroke,ON,Canada,7,2,2006,,,
antom001,Mike,Antonovich,Michael,J.,Antonovich,,Antone,,C,5,8,155,L,10,18,1951,Calumet,MN,USA,,,,,,
antos001,Shawn,Antoski,Shawn,,Antoski,,Moose,,L,6,4,235,L,3,25,1970,Brantford,ON,Canada,,,,,,
antrn001,Nik,Antropov,Nikolai,,Antropov,,,,C,6,6,230,L,2,18,1980,Vost,,Russia,,,,,,
appss001,Syl,Apps,Charles,Joseph Sylvanus,Apps,Sr.,Slippery Syl,,C,6,0,185,L,1,18,1915,Paris,ON,Canada,12,24,1998,,,
appss002,Syl,Apps,Sylvanus,Marshall,Apps,Jr.,,,C,6,0,185,R,8,1,1947,Toronto,ON,Canada,,,,,,
arboa001,Al,Arbour,Alger,Joseph,Arbour,,Radar,,D,6,0,180,L,11,1,1932,Sudbury,ON,Canada,,,,,,
arboa002,Amos,Arbour,Amos,,Arbour,,Butch,,L,5,8,160,L,1,26,1895,Waubaushene,ON,Canada,11,1,1943,Orillia,ON,Canada
arboj001,Jack,Arbour,John,Albert,Arbour,,,,D,5,8,172,L,3,7,1897,Waubaushene,ON,Canada,9,24,1973,,,
arboj002,John,Arbour,John,Gilbert,Arbour,,,,D,5,11,195,L,9,28,1945,Niagara Falls,ON,Canada,,,,,,
arbot001,Ty,Arbour,Ernest,J.,Arbour,,,,L,5,7,160,L,6,29,1896,Waubaushene,ON,Canada,2,11,1979,,,
archm001,Michel,Archambault,Michel,Joseph,Archambault,,Mike/Pit,,L,5,8,160,L,9,27,1950,St. Hyacinthe,QC,Canada,,,,,,
archy001,Yves,Archambault,Yves,,Archambault,,,,G,5,11,170,L,6,22,1952,Montreal,QC,Canada,,,,,,
archd001,Dave,Archibald,David,John,Archibald,,Archie,,C,6,1,210,L,4,14,1969,Chilliwack,BC,Canada,,,,,,
archj001,Jim,Archibald,James,,Archibald,,,,R,5,11,175,R,6,6,1961,Craik,SK,Canada,,,,,,
aresr001,Ron,Areshenkoff,Ronald,,Areshenkoff,,,,C,6,0,175,L,6,13,1957,Grand Forks,BC,Canada,,,,,,
arkhd001,Denis,Arkhipov,,,,,,,C,6,3,214,L,5,19,1979,Kazan,,Russia,,,,,,
armsb001,Bill,Armstrong,William,Harold,Armstrong,,Army,,C,6,2,195,L,6,25,1966,London,ON,Canada,,,,,,
armsb002,Bob,Armstrong,Robert,Richard,Armstrong,,Satch/Beau,,D,6,1,190,R,4,7,1931,Toronto,ON,Canada,11,6,1990,,,
armsc001,Chris,Armstrong,,,,,,,D,6,0,205,L,6,26,1975,Regina,SK,Canada,,,,,,
armsc002,Colby,Armstrong,,,,,,,R,6,2,188,R,11,23,1982,Lloydminster,BC,Canada,,,,,,
armsd001,Derek,Armstrong,Derek,,Armstrong,,Army,,C,6,0,190,R,4,23,1973,Ottawa,ON,Canada,,,,,,
armsg001,George,Armstrong,George,Edward,Armstrong,,Chief,,R,6,1,184,R,7,6,1930,Skead,ON,Canada,,,,,,
armsm001,Murray,Armstrong,Murray,Alexander,Armstrong,,,,C,5,10,170,L,1,1,1916,Manor,SK,Canada,12,8,2010,St. Augustine,FL,USA
armsn001,Norm,Armstrong,Norman,Gerrard,Armstrong,,Red,,D/L,5,11,205,L,10,17,1938,Own Sound,ON,Canada,7,23,1974,,,
armsr001,Riley,Armstrong,,,,,,,R,5,11,185,R,11,8,1984,Saskatoon,SK,Canada,,,,,,
armst001,Tim,Armstrong,Timothy,,Armstrong,,,,C,5,11,170,R,5,12,1967,Toronto,ON,Canada,,,,,,
